"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
World,"254,288,610",,"5,118,755",,"229,909,966",,,,,,,,
USA,"47,919,627",,"783,575",,"37,918,301",,,,,,,,
India,"34,447,536",,"463,655",,"33,849,785",,,,,,,,
Brazil,"21,957,967",,"611,318",,"21,151,342",,,,,,,,
UK,"9,600,369",,"142,945",,"7,863,878",,,,,,,,
Russia,"9,109,094",,"256,597",,"7,812,557",,,,,,,,
Turkey,"8,408,166",,"73,531",,"7,888,959",,,,,,,,
France,"7,287,645",,"118,154",,"7,009,009",,,,,,,,
Iran,"6,045,212",,"128,272",,"5,708,253",,,,,,,,
Argentina,"5,305,742",,"116,232",,"5,172,193",,,,,,,,
Germany,"5,051,307",,"98,254",,"4,494,300",,,,,,,,
Spain,"5,047,156",,"87,673",,"4,889,801",,,,,,,,
Colombia,"5,031,945",,"127,809",,"4,872,420",,,,,,,,
Italy,"4,865,260",,"132,819",,"4,611,566",,,,,,,,
Indonesia,"4,251,076",,"143,670",,"4,098,884",,,,,,,,
Mexico,"3,845,733",,"291,147",,"3,206,890",,,,,,,,
Ukraine,"3,228,441",,"77,147",,"2,642,459",,,,,,,,
Poland,"3,214,023",,"78,879",,"2,817,206",,,,,,,,
South Africa,"2,925,939",,"89,484",,"2,819,688",,,,,,,,
Philippines,"2,818,511",,"45,709",,"2,745,777",,,,,,,,
Malaysia,"2,551,452",,"29,729",,"2,455,767",,,,,,,,
Netherlands,"2,314,304",,"18,750",,"2,025,305",,,,,,,,
Peru,"2,214,543",,"200,635",,N/A,,,,,,,,
Iraq,"2,069,247",,"23,503",,"2,025,057",,,,,,,,
Thailand,"2,024,753",,"20,079",,"1,910,509",,,,,,,,
Czechia,"1,896,075",,"31,541",,"1,722,749",,,,,,,,
Canada,"1,748,391",,"29,337",,"1,693,037",,,,,,,,
Romania,"1,744,440",,"53,264",,"1,587,856",,,,,,,,
Chile,"1,728,767",,"38,001",,"1,631,261",,,,,,,,
Japan,"1,725,466",,"18,327",,"1,705,474",,,,,,,,
Bangladesh,"1,572,501",,"27,922",,"1,536,515",,,,,,,,
Belgium,"1,484,712",,"26,321",,"1,242,741",,,,,,,,
Israel,"1,337,493",,"8,143",,"1,323,543",,,,,,,,
Pakistan,"1,279,876",,"28,612",,"1,228,473",,,,,,,,
Serbia,"1,214,650",,"10,896",,"1,114,763",,,,,,,,
Sweden,"1,182,471",,"15,051",,"1,147,455",,,,,,,,
Portugal,"1,107,488",,"18,257",,"1,051,300",,,,,,,,
Vietnam,"1,035,138",,"23,183",,"864,516",,,,,,,,
Austria,"971,541",,"11,746",,"842,934",,,,,,,,
Hungary,"960,844",,"32,171",,"825,775",,,,,,,,
Cuba,"959,064",,"8,283",,"948,969",,,,,,,,
Kazakhstan,"957,537",,"12,434",,"915,369",,,,,,,,
Morocco,"948,271",,"14,746",,"930,236",,,,,,,,
Switzerland,"918,745",,"11,356",,"844,708",,,,,,,,
Jordan,"892,123",,"11,238",,"851,303",,,,,,,,
Greece,"838,824",,"16,838",,"743,826",,,,,,,,
Nepal,"817,333",,"11,478",,"798,544",,,,,,,,
Georgia,"785,911",,"11,057",,"722,399",,,,,,,,
UAE,"741,006",,"2,144",,"735,638",,,,,,,,
Tunisia,"715,687",,"25,311",,"689,504",,,,,,,,
Bulgaria,"655,647",,"26,279",,"516,141",,,,,,,,
Lebanon,"652,735",,"8,582",,"623,694",,,,,,,,
Belarus,"629,271",,"4,861",,"609,243",,,,,,,,
Guatemala,"610,004",,"15,714",,"591,720",,,,,,,,
Costa Rica,"564,159",,"7,197",,"524,560",,,,,,,,
Slovakia,"563,445",,"13,598",,"472,092",,,,,,,,
Azerbaijan,"560,853",,"7,445",,"522,431",,,,,,,,
Sri Lanka,"552,054",,"13,995",,"524,311",,,,,,,,
Saudi Arabia,"549,260",,"8,816",,"538,329",,,,,,,,
Croatia,"539,887",,"9,936",,"495,889",,,,,,,,
Bolivia,"523,485",,"19,017",,"482,744",,,,,,,,
Ecuador,"519,560",,"32,989",,"443,880",,,,,,,,
Myanmar,"513,262",,"18,929",,"484,340",,,,,,,,
Ireland,"498,448",,"5,566",,"409,700",,,,,,,,
Panama,"474,621",,"7,343",,"465,473",,,,,,,,
Paraguay,"461,957",,"16,337",,"444,977",,,,,,,,
Lithuania,"444,181",,"6,344",,"401,124",,,,,,,,
Denmark,"426,992",,"2,772",,"387,199",,,,,,,,
Palestine,"426,798",,"4,486",,"419,178",,,,,,,,
Venezuela,"419,745",,"5,026",,"405,840",,,,,,,,
Kuwait,"413,008",,"2,462",,"410,277",,,,,,,,
S. Korea,"397,466",,"3,115",,"362,834",,,,,,,,
Uruguay,"396,545",,"6,101",,"388,424",,,,,,,,
Dominican Republic,"395,856",,"4,170",,"387,191",,,,,,,,
Slovenia,"379,964",,"4,953",,"332,168",,,,,,,,
Honduras,"376,967",,"10,353",,"117,912",,,,,,,,
Mongolia,"373,344",,"1,888",,"313,256",,,,,,,,
Ethiopia,"368,822",,"6,623",,"344,707",,,,,,,,
Libya,"365,237",,"5,307",,"318,816",,,,,,,,
Moldova,"352,822",,"8,495",,"332,709",,,,,,,,
Egypt,"343,961",,"19,499",,"287,682",,,,,,,,
Armenia,"329,341",,"7,055",,"295,722",,,,,,,,
Oman,"304,437",,"4,113",,"299,853",,,,,,,,
Bahrain,"277,223",,"1,393",,"275,590",,,,,,,,
Bosnia and Herzegovina,"263,587",,"11,962",,"192,218",,,,,,,,
Kenya,"254,309",,"5,319",,"247,682",,,,,,,,
Qatar,"241,232",,611,,"238,965",,,,,,,,
Latvia,"240,762",,"3,765",,"216,645",,,,,,,,
Singapore,"237,203",,586,,"212,724",,,,,,,,
Norway,"228,526",,951,,"88,952",,,,,,,,
Nigeria,"213,147",,"2,968",,"205,732",,,,,,,,
Estonia,"212,607",,"1,690",,"184,487",,,,,,,,
Zambia,"209,996",,"3,666",,"206,209",,,,,,,,
North Macedonia,"209,449",,"7,337",,"193,781",,,,,,,,
Algeria,"207,970",,"5,984",,"142,698",,,,,,,,
Botswana,"193,701",,"2,411",,"190,577",,,,,,,,
Albania,"193,075",,"2,990",,"181,649",,,,,,,,
Australia,"190,624",,"1,888",,"167,278",,,,,,,,
Uzbekistan,"189,915",,"1,358",,"186,191",,,,,,,,
Kyrgyzstan,"182,425",,"2,707",,"176,909",,,,,,,,
Finland,"170,285",,"1,230",,"46,000",,,,,,,,
Afghanistan,"156,610",,"7,294",,"129,263",,,,,,,,
Montenegro,"152,411",,"2,216",,"145,557",,,,,,,,
Mozambique,"151,427",,"1,936",,"149,368",,,,,,,,
Zimbabwe,"133,438",,"4,697",,"128,287",,,,,,,,
Ghana,"130,649",,"1,206",,"128,331",,,,,,,,
Namibia,"129,060",,"3,564",,"125,354",,,,,,,,
Uganda,"126,965",,"3,239",,"97,025",,,,,,,,
Cyprus,"124,225",,577,,"90,755",,,,,,,,
Cambodia,"119,588",,"2,872",,"115,979",,,,,,,,
El Salvador,"117,884",,"3,728",,"100,780",,,,,,,,
Cameroon,"106,190",,"1,770",,"102,716",,,,,,,,
